assessment_year,industry,company_id,parent_aspect,aspect,score_weight,score_value
2020,HOM Homebuilding,33191588,Environmental Dimension,Resource Conservation & Resource Efficiency,7,0.0
2020,HOM Homebuilding,33191588,Governance & Economic Dimension,Codes of Business Conduct,8,0.0
2020,HOM Homebuilding,33191588,Governance & Economic Dimension,Corporate Governance,8,20.526316
2020,HOM Homebuilding,33191588,Governance & Economic Dimension,Information Security/ Cybersecurity & System Availability,2,0.0
2020,HOM Homebuilding,33191588,Governance & Economic Dimension,Materiality,3,0.0
2020,HOM Homebuilding,33191588,Governance & Economic Dimension,Policy Influence,2,0.0
2020,HOM Homebuilding,33191588,Governance & Economic Dimension,Risk & Crisis Management,6,0.0
2020,HOM Homebuilding,33191588,S&P Global ESG Score,Environmental Dimension,37,0.0
2020,HOM Homebuilding,33191588,S&P Global ESG Score,Governance & Economic Dimension,29,5.662432
2020,HOM Homebuilding,33191588,S&P Global ESG Score,Social Dimension,34,3.529412
2020,HOM Homebuilding,33191588,Social Dimension,Corporate Citizenship & Philanthropy,3,0.0
2020,HOM Homebuilding,33191588,Social Dimension,Human Capital Development,6,20.0
2020,HOM Homebuilding,33191588,Social Dimension,Human Rights,3,0.0
2020,HOM Homebuilding,33191588,Social Dimension,Labor Practice Indicators,3,0.0
2020,HOM Homebuilding,33191588,Social Dimension,Occupational Health & Safety,7,0.0
2020,HOM Homebuilding,33191588,Social Dimension,Social Integration & Regeneration,2,0.0
2020,HOM Homebuilding,33191588,Social Dimension,Social Reporting,4,0.0
2020,HOM Homebuilding,33191588,Social Dimension,Talent Attraction & Retention,6,0.0
2020,HOM Homebuilding,33191588,,S&P Global ESG Score,100,2.842105
2020,HOM Homebuilding,35158461,Environmental Dimension,Biodiversity,3,0.0
2020,HOM Homebuilding,35158461,Environmental Dimension,Building Materials,6,0.0
2020,HOM Homebuilding,35158461,Environmental Dimension,Climate Strategy,5,0.0
2020,HOM Homebuilding,35158461,Environmental Dimension,Environmental Policy & Management Systems,5,7.0
2020,HOM Homebuilding,35158461,Environmental Dimension,Environmental Reporting,4,0.0
2020,HOM Homebuilding,35158461,Environmental Dimension,Operational Eco-Efficiency,7,0.0
2020,HOM Homebuilding,35158461,Environmental Dimension,Resource Conservation & Resource Efficiency,7,0.0
2020,HOM Homebuilding,35158461,Governance & Economic Dimension,Codes of Business Conduct,8,0.0
2020,HOM Homebuilding,35158461,Governance & Economic Dimension,Corporate Governance,8,7.0
2020,HOM Homebuilding,35158461,Governance & Economic Dimension,Information Security/ Cybersecurity & System Availability,2,0.0
2020,HOM Homebuilding,35158461,Governance & Economic Dimension,Materiality,3,0.0
2020,HOM Homebuilding,35158461,Governance & Economic Dimension,Policy Influence,2,0.0
2020,HOM Homebuilding,35158461,Governance & Economic Dimension,Risk & Crisis Management,6,0.0
2020,HOM Homebuilding,35158461,S&P Global ESG Score,Environmental Dimension,37,0.945946
2020,HOM Homebuilding,35158461,S&P Global ESG Score,Governance & Economic Dimension,29,1.931034
2020,HOM Homebuilding,35158461,S&P Global ESG Score,Social Dimension,34,0.0
2020,HOM Homebuilding,35158461,Social Dimension,Corporate Citizenship & Philanthropy,3,0.0
2020,HOM Homebuilding,35158461,Social Dimension,Human Capital Development,6,0.0
2020,HOM Homebuilding,35158461,Social Dimension,Human Rights,3,0.0
2020,HOM Homebuilding,35158461,Social Dimension,Labor Practice Indicators,3,0.0
2020,HOM Homebuilding,35158461,Social Dimension,Occupational Health & Safety,7,0.0
2020,HOM Homebuilding,35158461,Social Dimension,Social Integration & Regeneration,2,0.0
